"popularity_bucket","avg_revenue","avg_rating","movie_count"
High (>1k),267113127.4872,6.752706552706556,351
Medium (100-1k),66325778.2090,6.166242937853105,708
Low (<100),12983298.2703,5.99243243243243,185
