"runtime_bucket","movie_count","avg_roi","avg_rating","avg_revenue"
<90 min,133,1345.103603533,5.835338345864661,60338675.4962
>150 min,47,678.565797446,7.314893617021277,275101624.4043
"90-120 min",821,451.776256699,6.20560292326431,98602123.2546
"121-150 min",243,276.329637736,6.706995884773667,169588911.6049
